/scratch/zr2245/anaconda3/envs/gs/bin/python
2.2.0+cu118
True
Running on host: gl012.hpc.nyu.edu
CUDA_VISIBLE_DEVICES=0
Using python: /scratch/zr2245/anaconda3/envs/gs/bin/python
  gt1_model_bits     = 0.708351
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.001533
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 23
  train_model_bits   = 0.616400
  val_model_bits     = 0.605716
  val_cabac_bits     = 0.604803
  val_delta_bits     = 0.000913
  sig_model_bits     = 0.528112
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = 0.000487
  gt1_model_bits     = 0.708293
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.001475
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 24
  train_model_bits   = 0.616097
  val_model_bits     = 0.605468
  val_cabac_bits     = 0.604803
  val_delta_bits     = 0.000666
  sig_model_bits     = 0.527482
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.000143
  gt1_model_bits     = 0.708551
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.001734
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 25
  train_model_bits   = 0.616080
  val_model_bits     = 0.605650
  val_cabac_bits     = 0.604803
  val_delta_bits     = 0.000847
  sig_model_bits     = 0.528089
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = 0.000464
  gt1_model_bits     = 0.708171
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.001353
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 26
  train_model_bits   = 0.615178
  val_model_bits     = 0.604688
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.000115
  sig_model_bits     = 0.527058
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.000567
  gt1_model_bits     = 0.707300
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.000482
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 27
  train_model_bits   = 0.614623
  val_model_bits     = 0.604084
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.000719
  sig_model_bits     = 0.526310
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.001314
  gt1_model_bits     = 0.706887
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.000069
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 28
  train_model_bits   = 0.614266
  val_model_bits     = 0.603897
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.000906
  sig_model_bits     = 0.526103
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.001522
  gt1_model_bits     = 0.706726
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000091
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 29
  train_model_bits   = 0.613766
  val_model_bits     = 0.603656
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001147
  sig_model_bits     = 0.525847
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.001778
  gt1_model_bits     = 0.706504
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000313
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 30
  train_model_bits   = 0.613236
  val_model_bits     = 0.604078
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.000725
  sig_model_bits     = 0.525862
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.001762
  gt1_model_bits     = 0.707464
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = 0.000647
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 31
  train_model_bits   = 0.613060
  val_model_bits     = 0.603379
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001424
  sig_model_bits     = 0.525710
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.001914
  gt1_model_bits     = 0.706041
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000776
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 32
  train_model_bits   = 0.612702
  val_model_bits     = 0.603348
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001455
  sig_model_bits     = 0.525114
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.002510
  gt1_model_bits     = 0.706758
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000060
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 33
  train_model_bits   = 0.612703
  val_model_bits     = 0.603017
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001785
  sig_model_bits     = 0.524997
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.002627
  gt1_model_bits     = 0.706145
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000673
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 34
  train_model_bits   = 0.612150
  val_model_bits     = 0.603130
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001673
  sig_model_bits     = 0.525375
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.002250
  gt1_model_bits     = 0.705907
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000910
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 35
  train_model_bits   = 0.612198
  val_model_bits     = 0.602328
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002475
  sig_model_bits     = 0.524357
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003267
  gt1_model_bits     = 0.705390
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001428
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 36
  train_model_bits   = 0.611573
  val_model_bits     = 0.603006
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.001797
  sig_model_bits     = 0.525227
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.002398
  gt1_model_bits     = 0.705815
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001003
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 37
  train_model_bits   = 0.611362
  val_model_bits     = 0.602485
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002318
  sig_model_bits     = 0.524301
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003324
  gt1_model_bits     = 0.705829
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000988
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 38
  train_model_bits   = 0.610899
  val_model_bits     = 0.602400
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002403
  sig_model_bits     = 0.524186
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003439
  gt1_model_bits     = 0.705785
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001033
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 39
  train_model_bits   = 0.610842
  val_model_bits     = 0.602262
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002541
  sig_model_bits     = 0.524401
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003224
  gt1_model_bits     = 0.705179
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001639
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 40
  train_model_bits   = 0.610532
  val_model_bits     = 0.602337
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002465
  sig_model_bits     = 0.524414
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003210
  gt1_model_bits     = 0.705337
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001481
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 41
  train_model_bits   = 0.610285
  val_model_bits     = 0.601959
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002844
  sig_model_bits     = 0.523977
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003648
  gt1_model_bits     = 0.705035
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001783
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 42
  train_model_bits   = 0.610004
  val_model_bits     = 0.601682
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003121
  sig_model_bits     = 0.523601
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004023
  gt1_model_bits     = 0.704890
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001928
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 43
  train_model_bits   = 0.609816
  val_model_bits     = 0.601843
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002959
  sig_model_bits     = 0.523612
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004013
  gt1_model_bits     = 0.705250
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001567
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 44
  train_model_bits   = 0.609593
  val_model_bits     = 0.602255
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002548
  sig_model_bits     = 0.523798
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003826
  gt1_model_bits     = 0.705960
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.000858
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 45
  train_model_bits   = 0.609586
  val_model_bits     = 0.601715
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003087
  sig_model_bits     = 0.523712
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003912
  gt1_model_bits     = 0.704820
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001998
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 46
  train_model_bits   = 0.609379
  val_model_bits     = 0.601686
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003117
  sig_model_bits     = 0.523649
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003976
  gt1_model_bits     = 0.704835
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001983
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 47
  train_model_bits   = 0.609222
  val_model_bits     = 0.601564
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003238
  sig_model_bits     = 0.523469
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004155
  gt1_model_bits     = 0.704791
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.002026
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 48
  train_model_bits   = 0.608966
  val_model_bits     = 0.601742
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003061
  sig_model_bits     = 0.523724
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003901
  gt1_model_bits     = 0.704868
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001950
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 49
  train_model_bits   = 0.608848
  val_model_bits     = 0.601606
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003197
  sig_model_bits     = 0.523488
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004136
  gt1_model_bits     = 0.704862
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001956
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 50
  train_model_bits   = 0.609140
  val_model_bits     = 0.602001
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002802
  sig_model_bits     = 0.523599
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004026
  gt1_model_bits     = 0.705633
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001185
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 51
  train_model_bits   = 0.608824
  val_model_bits     = 0.601371
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003432
  sig_model_bits     = 0.523289
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004335
  gt1_model_bits     = 0.704579
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.002238
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 52
  train_model_bits   = 0.608089
  val_model_bits     = 0.601522
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003281
  sig_model_bits     = 0.523315
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004310
  gt1_model_bits     = 0.704897
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001920
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 53
  train_model_bits   = 0.607993
  val_model_bits     = 0.601424
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003379
  sig_model_bits     = 0.523342
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004283
  gt1_model_bits     = 0.704634
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.002184
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 54
  train_model_bits   = 0.607874
  val_model_bits     = 0.601356
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003446
  sig_model_bits     = 0.523031
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004594
  gt1_model_bits     = 0.704888
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001930
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 55
  train_model_bits   = 0.607920
  val_model_bits     = 0.601353
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003450
  sig_model_bits     = 0.523287
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004338
  gt1_model_bits     = 0.704541
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.002277
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 56
  train_model_bits   = 0.607457
  val_model_bits     = 0.600996
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003807
  sig_model_bits     = 0.522677
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004947
  gt1_model_bits     = 0.704518
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.002299
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 57
  train_model_bits   = 0.607426
  val_model_bits     = 0.601408
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003395
  sig_model_bits     = 0.523273
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004352
  gt1_model_bits     = 0.704687
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.002130
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 58
  train_model_bits   = 0.607470
  val_model_bits     = 0.602262
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002541
  sig_model_bits     = 0.524054
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003571
  gt1_model_bits     = 0.705638
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001180
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 59
  train_model_bits   = 0.607431
  val_model_bits     = 0.601928
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002875
  sig_model_bits     = 0.523832
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003792
  gt1_model_bits     = 0.705156
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001662
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 60
  train_model_bits   = 0.607269
  val_model_bits     = 0.601539
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003264
  sig_model_bits     = 0.523395
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004229
  gt1_model_bits     = 0.704828
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001989
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 61
  train_model_bits   = 0.606806
  val_model_bits     = 0.601453
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003350
  sig_model_bits     = 0.522868
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004757
  gt1_model_bits     = 0.705327
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001491
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 62
  train_model_bits   = 0.606717
  val_model_bits     = 0.601625
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003178
  sig_model_bits     = 0.523694
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003930
  gt1_model_bits     = 0.704634
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.002184
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 63
  train_model_bits   = 0.606639
  val_model_bits     = 0.601661
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003142
  sig_model_bits     = 0.523235
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004389
  gt1_model_bits     = 0.705325
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001493
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 64
  train_model_bits   = 0.606795
  val_model_bits     = 0.602110
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002693
  sig_model_bits     = 0.524090
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.003534
  gt1_model_bits     = 0.705238
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001580
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 65
  train_model_bits   = 0.606457
  val_model_bits     = 0.601558
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003245
  sig_model_bits     = 0.523575
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004049
  gt1_model_bits     = 0.704636
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.002182
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 66
  train_model_bits   = 0.606376
  val_model_bits     = 0.601385
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003418
  sig_model_bits     = 0.523019
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004605
  gt1_model_bits     = 0.704970
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001848
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 67
  train_model_bits   = 0.606368
  val_model_bits     = 0.601664
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003138
  sig_model_bits     = 0.523469
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004155
  gt1_model_bits     = 0.705023
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001795
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 68
  train_model_bits   = 0.606025
  val_model_bits     = 0.601343
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.003459
  sig_model_bits     = 0.523053
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004571
  gt1_model_bits     = 0.704828
  gt1_cabac_bits     = 0.706818
  gt1_delta_bits     = -0.001990
  n_total=136009  n_sig=77430  n_gt1=58579
Epoch 69
  train_model_bits   = 0.606186
  val_model_bits     = 0.602000
  val_cabac_bits     = 0.604803
  val_delta_bits     = -0.002803
  sig_model_bits     = 0.523385
  sig_cabac_bits     = 0.527624
  sig_delta_bits     = -0.004239
  gt1_model_bits     = 0.705914
